model,cl_technique,experiment_name,time,best_epochs,current_num_samples_training,learning_rate,hyperparams,last,avg_incremental_f1,transfer,bwt,fw_transfer,metric
diptanu/fBERT,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.025,0.724516473192983,0.750150205432421,0.7583581331352393,0.0009353985245698082,-0.07025484512262198,f1_score
diptanu/fBERT,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.025,0.7248118927564962,0.7130649871150839,0.7051822543850781,0.014431109019114338,-0.27931090571985245,HATE_f1_score
diptanu/fBERT,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.01,0.7141647737679832,0.74185454350828,0.751025921230331,0.003900237889718605,-0.08725465446518506,f1_score
diptanu/fBERT,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.01,0.7220909440793842,0.7048778189803439,0.6952490052420305,0.021839554916167143,-0.3068570274314438,HATE_f1_score
diptanu/fBERT,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.05,0.7190570933290026,0.7361080077247452,0.7523556540039998,0.01798515748641505,-0.059830370001019074,f1_score
diptanu/fBERT,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.05,0.7236770771874423,0.696947956876456,0.6985850700475106,0.03836139822363238,-0.2511598481702612,HATE_f1_score
diptanu/fBERT,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.025,0.7281292330367314,0.6329611080309125,0.6129932203301967,0.026806471970295842,-0.17253904128828387,f1_score
diptanu/fBERT,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.025,0.684907558380983,0.6491460700021078,0.6210492364871443,-0.01623176769465362,-0.33387174977354694,HATE_f1_score
diptanu/fBERT,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.01,0.726377004307268,0.6210982541574755,0.6070259677566872,0.037729105152484094,-0.1576050410933044,f1_score
diptanu/fBERT,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.01,0.6833053392027669,0.6475738945627905,0.6170839260730401,-0.02189978100466422,-0.3098260854839802,HATE_f1_score
diptanu/fBERT,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.05,0.7258240236866168,0.6314192211349156,0.6103123530446403,0.025778134269244413,-0.17253904128828387,f1_score
diptanu/fBERT,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.05,0.6836135035245247,0.6497662672457957,0.6252417686449763,-0.014920522547918313,-0.33387174977354694,HATE_f1_score
diptanu/fBERT,ewc,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,ewc_lambda=1000,0.6546830917503228,0.7628596133852553,0.7741179989055482,-0.03543700433212811,-0.015724513968398766,f1_score
diptanu/fBERT,ewc,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,ewc_lambda=1000,0.5294412341567295,0.6733121627708062,0.6697989431519538,-0.11767169207381238,-0.08323712083546123,HATE_f1_score
diptanu/fBERT,ewc,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,ewc_lambda=1500,0.6546830917503228,0.7628596133852553,0.7741179989055482,-0.03543700433212811,-0.015724513968398766,f1_score
diptanu/fBERT,ewc,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,ewc_lambda=1500,0.5294412341567295,0.6733121627708062,0.6697989431519538,-0.11767169207381238,-0.08323712083546123,HATE_f1_score
diptanu/fBERT,vanilla_ft,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,,0.684778495211399,0.6878947997306143,0.6380614565366735,-0.019404213802894626,-0.1470174946248116,f1_score
diptanu/fBERT,vanilla_ft,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,,0.6940324339863442,0.6233819204965352,0.5113295253889895,0.0032315626336821466,-0.40400576482110623,HATE_f1_score
GroNLP/hateBERT,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.6267580643969864,0.719866704474914,0.7149171747967381,-0.0680928202423515,0.08576112443019454,f1_score
GroNLP/hateBERT,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.4318043062382601,0.5891182703247274,0.5549247506866258,-0.23642308663979977,0.12474445193397925,HATE_f1_score
GroNLP/hateBERT,mas,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mas_lambda=1000_mas_variation=global,0.6621171835140285,0.7391877116581876,0.7565753462118758,-0.002795346707787105,0.17505739043906998,f1_score
GroNLP/hateBERT,mas,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mas_lambda=1000_mas_variation=global,0.4927647864224354,0.5927989443272864,0.616171470699995,-0.008110386360394083,0.21320410529157705,HATE_f1_score
GroNLP/hateBERT,mas,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mas_lambda=1500_mas_variation=global,0.6405997618244652,0.7230259949791916,0.7440119317383939,0.013499867542034838,0.15839691275961149,f1_score
GroNLP/hateBERT,mas,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mas_lambda=1500_mas_variation=global,0.4508405289778961,0.5615100483191535,0.5921310310749883,0.024026044670968378,0.17246497735064448,HATE_f1_score
GroNLP/hateBERT,mas,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mas_lambda=500_mas_variation=global,0.6443953533875787,0.7375428853972709,0.7529284852708753,-0.020328580273560347,0.1473891072281742,f1_score
GroNLP/hateBERT,mas,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mas_lambda=500_mas_variation=global,0.4552190967864727,0.5910499290956669,0.6089023502742057,-0.053807682960628864,0.17880363313184625,HATE_f1_score
FacebookAI/roberta-base,agem,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mem_size_proportion=0.025,0.7248429923238978,0.8066135252402895,0.8170256986603226,-0.023100763335518713,0.3834062504914172,f1_score
FacebookAI/roberta-base,agem,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mem_size_proportion=0.025,0.6520783704605906,0.724421870922909,0.7377544691634823,0.003562875761022033,0.0244058663789331,HATE_f1_score
FacebookAI/roberta-base,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.01,0.7399631282152104,0.8086004432226844,0.8053370037189782,-0.04674585722796617,0.29309856721635535,f1_score
FacebookAI/roberta-base,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.01,0.735370511372379,0.7767866451870298,0.7585922117317896,-0.05551171520263146,-0.2678106325781103,HATE_f1_score
FacebookAI/roberta-base,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.025,0.7560283806783012,0.8200803140137498,0.8354543266111589,-0.017824808855730272,0.3008889545545264,f1_score
FacebookAI/roberta-base,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.025,0.7620834824393206,0.7917005329952878,0.7957566299778791,-0.013699705156163292,-0.2556694939716858,HATE_f1_score
FacebookAI/roberta-base,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.05,0.759325582087824,0.8253835906472202,0.8461003581295535,-0.01745888845306724,0.3039736918675512,f1_score
FacebookAI/roberta-base,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.05,0.7601397823094188,0.7960850934322263,0.8055046084337055,-0.018997120764055797,-0.2512376165144863,HATE_f1_score
FacebookAI/roberta-base,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.01,0.7401416186596984,0.6010569875873782,0.5724500075107292,0.043987938554780726,0.31134582691133006,f1_score
FacebookAI/roberta-base,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.01,0.7141876865545722,0.6655679067030303,0.6289246337148534,-0.029991784203170502,-0.21723922195447815,HATE_f1_score
FacebookAI/roberta-base,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.025,0.7506054174577974,0.5977171705696523,0.5620998013018147,0.06278689816934863,0.30967077402800147,f1_score
FacebookAI/roberta-base,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.025,0.7317883570282513,0.6696350403195891,0.6405345207547641,0.0014000264981531285,-0.22025171902713997,HATE_f1_score
FacebookAI/roberta-base,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.05,0.7454147078527399,0.6125104342752707,0.5571439772620139,0.02489757630824932,0.2701070425657771,f1_score
FacebookAI/roberta-base,agem,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,mem_size_proportion=0.05,0.7376949459118142,0.6796893543773295,0.6463659468353578,-0.007506230398823643,-0.3038217223784234,HATE_f1_score
